Smog rating,Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),Model year
2,8.9,9.3,30,216.0,2026
6,7.8,8.7,32,204.0,2026
4,7.8,8.8,32,206.0,2026
4,8.2,9.2,31,215.0,2026
4,8.3,9.4,30,219.0,2026
5,12.4,13.7,21,323.0,2026
5,12.9,14.4,20,339.0,2026
6,9.5,11.6,24,273.0,2026
6,11.1,12.4,23,293.0,2026
6,11.6,12.9,22,305.0,2026
7,6.6,7.4,38,174.0,2026
7,6.9,7.8,36,183.0,2026
5,8.6,9.7,29,229.0,2026
4,9.6,10.8,26,253.0,2026
4,10.2,11.2,25,263.0,2026
5,6.6,7.4,38,173.0,2026
5,6.8,7.6,37,179.0,2026
5,7.2,8.0,35,188.0,2026
7,6.1,7.1,40,167.0,2026
7,6.1,7.1,40,166.0,2026
7,6.4,7.2,39,170.0,2026
2,8.6,10.6,27,250.0,2026
2,10.0,11.9,24,280.0,2026
2,9.9,12.2,23,287.0,2026
4,9.2,11.3,25,263.0,2026
4,9.4,11.4,25,264.0,2026
4,10.2,12.2,23,291.0,2026
4,11.2,13.5,21,324.0,2026
4,11.0,13.6,21,324.0,2026
2,11.8,13.8,20,324.0,2026
4,9.3,11.0,26,263.0,2026
4,9.6,11.0,26,259.0,2026
4,10.1,12.2,23,289.0,2026
4,10.7,12.2,23,290.0,2026
4,9.4,11.4,25,268.0,2026
4,9.4,11.4,25,264.0,2026
4,9.8,12.5,23,295.0,2026
6,9.4,11.5,25,269.0,2026
6,9.9,11.7,24,276.0,2026
4,11.6,13.3,21,312.0,2026
6,11.5,13.8,20,324.0,2026
6,12.9,15.1,19,353.9,2026
2,12.4,15.1,19,353.9,2026
6,9.6,11.2,25,262.0,2026
6,9.9,11.1,25,258.0,2026
6,9.6,10.0,28,235.0,2026
6,9.7,10.1,28,236.0,2026
7,6.0,6.51,43,151.2,2026
7,6.0,6.51,43,151.2,2026
7,6.0,6.51,43,151.2,2026
5,6.0,6.7,42,158.0,2026
5,6.0,6.8,42,160.0,2026
5,6.0,6.8,42,159.0,2026
6,6.0,6.51,43,151.2,2026
6,6.0,6.51,43,151.2,2026
6,6.0,6.51,43,151.2,2026
5,7.2,7.4,38,172.0,2026
5,7.6,7.8,36,183.0,2026
6,6.1,6.51,43,151.2,2026
6,7.3,7.8,36,182.0,2026
6,6.0,6.51,43,151.2,2026
6,6.3,6.51,43,151.2,2026
4,8.6,10.5,27,245.0,2026
4,8.3,9.8,29,229.0,2026
4,8.0,9.4,30,217.0,2026
4,9.0,11.0,26,253.0,2026
2,7.9,9.7,29,228.0,2026
2,8.9,10.6,27,250.0,2026
6,8.6,10.0,28,236.0,2026
6,9.0,10.7,26,249.0,2026
6,7.4,7.0,40,161.0,2026
6,8.6,8.8,32,206.0,2026
6,8.4,9.9,29,231.0,2026
6,6.8,6.7,42,158.0,2026
6,6.8,6.7,42,156.0,2026
5,9.5,10.1,28,237.0,2026
6,6.0,6.51,43,151.2,2026
4,10.5,11.7,24,273.0,2026
6,6.5,6.6,43,153.0,2026
6,6.7,6.8,42,158.0,2026
6,10.2,11.4,25,269.0,2026
4,10.3,11.9,24,279.0,2026
6,9.9,10.3,27,240.0,2026
4,10.5,12.0,24,282.0,2026
4,10.8,12.4,23,292.0,2026
4,10.6,12.2,23,287.0,2026
4,10.5,11.7,24,274.0,2026
4,11.6,12.3,23,287.0,2026
4,9.2,10.7,26,252.0,2026
4,9.4,11.0,26,259.0,2026
4,9.4,11.1,25,262.0,2026
4,7.4,8.8,32,205.0,2026
4,7.7,9.3,30,217.0,2026
