Model year,City (L/100 km),Highway (L/100 km),Combined (L/100 km),Combined (mpg),CO2 emissions (g/km),CO2 rating,Smog rating
2026,8.8,6.4,7.7,37,179,6,7
2026,9.0,6.6,7.9,36,184,6,7
2026,10.5,7.7,9.2,31,214,5,5
2026,9.6,8.9,9.3,30,216,5,2
2026,9.4,7.8,8.7,32,204,5,6
2026,9.7,7.8,8.8,32,206,5,4
2026,10.1,8.2,9.2,31,215,5,4
2026,10.3,8.3,9.4,30,219,5,4
2026,14.7,12.4,13.7,21,323,3,5
2026,15.7,12.9,14.4,20,339,3,5
2026,13.4,9.5,11.6,24,273,4,6
2026,13.5,11.1,12.4,23,293,4,6
2026,14.0,11.6,12.9,22,305,3,6
2026,8.1,6.6,7.4,38,174,6,7
2026,8.5,6.9,7.8,36,183,6,7
2026,10.6,8.6,9.7,29,229,5,5
2026,11.8,9.6,10.8,26,253,4,4
2026,12.0,10.2,11.2,25,263,4,4
2026,8.0,6.6,7.4,38,173,6,5
2026,8.3,6.8,7.6,37,179,6,5
2026,8.7,7.2,8.0,35,188,6,5
2026,7.9,6.1,7.1,40,167,6,7
2026,7.9,6.1,7.1,40,166,6,7
2026,8.0,6.4,7.2,39,170,6,7
2026,12.3,8.6,10.6,27,250,4,2
2026,13.4,10.0,11.9,24,280,4,2
2026,14.1,9.9,12.2,23,287,4,2
2026,12.9,9.2,11.3,25,263,4,4
2026,13.0,9.4,11.4,25,264,4,4
2026,13.8,10.2,12.2,23,291,4,4
2026,13.8,10.2,12.2,23,291,4,4
2026,15.3,11.2,13.5,21,324,3,4
2026,15.7,11.0,13.6,21,324,3,4
2026,15.5,11.8,13.8,20,324,3,2
2026,12.4,9.3,11.0,26,263,4,4
2026,12.2,9.6,11.0,26,259,4,4
2026,13.8,10.1,12.2,23,289,4,4
2026,13.5,10.7,12.2,23,290,4,4
2026,13.1,9.4,11.4,25,268,4,4
2026,13.1,9.4,11.4,25,264,4,4
2026,14.7,9.8,12.5,23,295,4,4
2026,13.1,9.4,11.5,25,269,4,6
2026,13.2,9.9,11.7,24,276,4,6
2026,14.7,11.6,13.3,21,312,3,4
2026,15.7,11.5,13.8,20,324,3,6
2026,16.7,14.9,15.9,18,374,2,6
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,19.7,12.4,16.4,17,379,2,2
2026,12.4,9.6,11.2,25,262,4,6
2026,12.0,9.9,11.1,25,258,4,6
2026,10.4,9.6,10.0,28,235,5,6
2026,10.5,9.7,10.1,28,236,5,6
2026,5.0,5.0,5.0,56,117,8,7
2026,5.1,5.2,5.1,55,120,7,7
2026,5.5,5.5,5.5,51,127,7,7
2026,7.4,5.7,6.7,42,158,6,5
2026,7.6,5.9,6.8,42,160,6,5
2026,7.5,5.9,6.8,42,159,6,5
2026,4.4,5.1,4.7,60,110,8,6
2026,4.6,5.3,4.9,58,115,8,6
2026,5.0,5.7,5.3,53,124,7,6
2026,7.6,7.2,7.4,38,172,6,5
2026,8.1,7.6,7.8,36,183,6,5
2026,5.2,6.1,5.6,50,132,7,6
2026,8.1,7.3,7.8,36,182,6,6
2026,5.6,5.7,5.7,50,133,7,6
2026,6.1,6.3,6.2,46,144,7,6
2026,12.1,8.6,10.5,27,245,5,4
2026,11.1,8.3,9.8,29,229,5,4
2026,10.5,8.0,9.4,30,217,5,4
2026,12.6,9.0,11.0,26,253,4,4
2026,11.2,7.9,9.7,29,228,5,2
2026,12.0,8.9,10.6,27,250,4,2
2026,11.2,8.6,10.0,28,236,5,6
2026,11.6,9.0,10.7,26,249,4,6
2026,6.6,7.4,7.0,40,161,6,6
2026,9.0,8.6,8.8,32,206,5,6
2026,11.0,8.4,9.9,29,231,5,6
2026,6.7,6.8,6.7,42,158,6,6
2026,6.6,6.8,6.7,42,156,6,6
2026,10.7,9.5,10.1,28,237,5,5
2026,4.8,4.7,4.8,59,111,8,6
2026,12.6,10.5,11.7,24,273,4,4
2026,6.6,6.5,6.6,43,153,7,6
2026,6.8,6.7,6.8,42,158,6,6
2026,12.5,9.6,11.2,25,264,4,6
2026,12.4,10.2,11.4,25,269,4,6
2026,13.2,10.3,11.9,24,279,4,4
